Job Title,Job Experience Required,Key Skills,Role Category,Location,Functional Area,Industry,Role,Longitude,Latitude,sal,Job Title_count,Job Experience Required_count,Key Skills_count,Role Category_count,Location_count,Functional Area_count,Industry_count,Role_count
74,29,71,4.0,9,3,1,4.0,80.270186,13.0836939,5256,1,22,1,130.0,16,119,187,7.0
75,17,72,10.0,4,8,21,13.0,73.8544541,18.521428,3675,1,22,1,26.0,45,19,10,20.0
76,3,73,6.0,27,5,5,27.0,72.6300562,23.0876721,1738,1,7,1,43.0,1,57,26,33.0
77,11,74,25.0,28,24,21,41.0,,,4134,2,15,1,3.0,1,6,10,2.0
78,18,75,11.0,18,2,24,42.0,88.35769124,22.5414185,6330,1,10,1,9.0,32,10,4,3.0
79,31,76,4.0,5,3,1,11.0,77.590082,12.9767936,4041,1,18,1,130.0,71,119,187,96.0
80,38,77,14.0,2,7,1,43.0,77.00270015,28.42826235,3753,1,5,1,3.0,38,6,187,1.0
81,12,78,11.0,3,2,2,42.0,78.4740613,17.360589,2994,1,7,1,9.0,37,10,42,3.0
82,39,79,1.0,18,1,9,17.0,88.35769124,22.5414185,6744,1,14,1,35.0,32,74,4,35.0
83,9,80,12.0,11,9,2,26.0,72.5797068,23.0216238,5060,1,11,1,18.0,20,23,42,14.0
84,7,81,1.0,13,1,25,17.0,77.1212148,28.6882438,6436,1,38,1,35.0,15,74,19,35.0
85,8,82,4.0,17,3,1,11.0,77.3271074,28.5707841,3541,3,21,1,130.0,22,119,187,96.0
86,40,83,26.0,5,25,9,44.0,77.590082,12.9767936,1802,1,1,1,11.0,71,15,4,2.0
87,13,84,12.0,4,9,1,26.0,73.8544541,18.521428,4227,1,17,1,18.0,45,23,187,14.0
88,41,85,21.0,9,19,26,45.0,80.270186,13.0836939,5688,1,4,2,15.0,16,21,8,2.0
89,2,86,4.0,3,3,1,11.0,78.4740613,17.360589,5179,1,16,1,130.0,37,119,187,96.0
90,1,87,4.0,11,3,1,11.0,72.5797068,23.0216238,6185,1,32,1,130.0,20,119,187,96.0
41,34,88,4.0,0,3,1,11.0,72.8773928,19.0759899,4877,3,9,1,130.0,58,119,187,96.0
91,42,89,23.0,11,1,26,17.0,72.5797068,23.0216238,6269,1,1,1,14.0,20,74,8,35.0
92,19,90,4.0,5,4,1,4.0,77.590082,12.9767936,1586,1,6,1,130.0,71,7,187,7.0
93,7,91,27.0,11,26,27,46.0,72.5797068,23.0216238,3076,2,38,1,6.0,20,7,3,3.0
94,31,92,23.0,5,1,2,1.0,77.590082,12.9767936,4264,2,18,1,14.0,71,74,42,16.0
95,39,93,0.0,16,0,0,47.0,77.2219388,28.6517178,2876,1,14,1,3.0,12,13,10,1.0
96,43,94,28.0,5,1,6,48.0,77.590082,12.9767936,4577,1,1,1,2.0,71,74,10,1.0
97,1,95,4.0,29,3,1,11.0,79.8077463,11.9256207,4154,2,32,1,130.0,1,119,187,96.0
98,8,96,21.0,30,19,2,49.0,121.0977529,14.6719732,2548,1,21,1,15.0,1,21,42,7.0
99,34,97,10.0,17,27,2,50.0,77.3271074,28.5707841,2882,1,9,1,26.0,22,4,42,2.0
100,11,98,29.0,31,1,8,51.0,77.1878709,28.5702618,6053,1,15,1,3.0,1,74,10,1.0
101,0,99,30.0,9,7,1,52.0,80.270186,13.0836939,1889,1,26,1,14.0,16,6,187,2.0
102,17,100,4.0,15,3,1,11.0,77.00270015,28.42826235,6744,1,22,1,130.0,2,119,187,96.0
103,37,101,26.0,4,25,17,53.0,73.8544541,18.521428,1586,1,9,1,11.0,45,15,18,1.0
104,28,102,4.0,2,3,2,11.0,77.00270015,28.42826235,5161,1,4,1,130.0,38,119,42,96.0
105,12,103,1.0,5,1,17,1.0,77.590082,12.9767936,5684,1,7,1,35.0,71,74,18,16.0
106,44,31,10.0,32,27,28,23.0,76.7797143,30.7334421,4488,1,1,16,26.0,5,4,1,3.0
107,15,104,26.0,4,25,8,54.0,73.8544541,18.521428,3248,1,5,1,11.0,45,15,10,1.0
108,17,105,11.0,5,2,8,55.0,77.590082,12.9767936,2265,1,22,1,9.0,71,10,10,2.0
109,0,106,19.0,9,5,29,31.0,80.270186,13.0836939,1569,1,26,1,4.0,16,57,13,2.0
110,37,31,12.0,18,9,2,26.0,88.35769124,22.5414185,3724,1,9,16,18.0,32,23,42,14.0
